"season","week","defense_team","def_total_plays","def_avg_yards_per_play","def_avg_epa_per_play","def_success_rate_allowed","def_sacks","def_stuff_rate","def_turnovers_forced","def_turnover_rate","def_explosive_rate_allowed","def_third_down_stops","def_third_down_rate","def_red_zone_tds_allowed","def_red_zone_stops","def_red_zone_td_rate","def_roll3_epa","def_roll3_success_rate","def_roll3_third_down"
2025,6,"KC",53,5.60377358490566,0.112325160200752,0.528301886792453,1,0.169811320754717,0,0,0.0943396226415094,6,0.545454545454545,1,6,0.142857142857143,0.0256279311203916,0.486683836572849,0.563299663299663
2025,1,"LA",56,4.64285714285714,-0.158999286285687,0.357142857142857,3,0.232142857142857,2,0.0357142857142857,0.0892857142857143,7,0.777777777777778,0,4,0,NA,NA,NA
2025,2,"LA",64,3.9375,-0.123710828129782,0.390625,5,0.34375,1,0.015625,0.078125,9,0.6,1,5,0.166666666666667,NA,NA,NA
2025,3,"LA",62,4.67741935483871,0.033517855355441,0.419354838709677,4,0.338709677419355,1,0.0161290322580645,0.112903225806452,9,0.642857142857143,3,16,0.157894736842105,-0.0830640863533427,0.389040898617512,0.673544973544974
2025,4,"LA",53,5.88679245283019,-0.122788624467033,0.452830188679245,2,0.30188679245283,3,0.0566037735849057,0.0943396226415094,8,0.666666666666667,2,3,0.4,-0.0709938657471248,0.420936675796308,0.636507936507936
2025,5,"LA",81,4.8641975308642,0.0996798970202657,0.506172839506173,1,0.296296296296296,0,0,0.0123456790123457,11,0.611111111111111,2,10,0.166666666666667,0.00346970930289121,0.459452622298365,0.64021164021164
2025,6,"LA",73,3.95890410958904,-0.329270453905449,0.397260273972603,4,0.328767123287671,3,0.0410958904109589,0.0821917808219178,10,0.588235294117647,0,11,0,-0.117459727117406,0.452087767386007,0.622004357298475
2025,1,"LAC",57,6.05263157894737,0.202887476518004,0.456140350877193,2,0.350877192982456,0,0,0.140350877192982,9,0.692307692307692,1,8,0.111111111111111,NA,NA,NA
2025,2,"LAC",65,3.35384615384615,-0.391883261733006,0.307692307692308,3,0.430769230769231,3,0.0461538461538462,0.0923076923076923,9,0.5,0,9,0,NA,NA,NA
2025,3,"LAC",46,5.30434782608696,-0.126958681323438,0.260869565217391,2,0.41304347826087,0,0,0.108695652173913,11,0.846153846153846,1,3,0.25,-0.105318155512813,0.341567407928964,0.679487179487179
2025,4,"LAC",69,3.60869565217391,-0.164161657806263,0.405797101449275,6,0.318840579710145,0,0,0.0579710144927536,8,0.533333333333333,1,14,0.0666666666666667,-0.227667866954236,0.324786324786325,0.626495726495726
2025,5,"LAC",51,7.27450980392157,0.159225046002965,0.568627450980392,1,0.313725490196078,1,0.0196078431372549,0.176470588235294,4,0.666666666666667,2,8,0.2,-0.0439650977089121,0.411764705882353,0.682051282051282
2025,6,"LAC",54,6.11111111111111,0.0236000294091087,0.425925925925926,2,0.333333333333333,3,0.0555555555555556,0.0925925925925926,6,0.6,2,4,0.333333333333333,0.00622113920193692,0.466783492785198,0.6
2025,1,"LV",68,4.94117647058824,-0.0660757663609487,0.411764705882353,4,0.382352941176471,1,0.0147058823529412,0.0588235294117647,10,0.714285714285714,1,5,0.166666666666667,NA,NA,NA
2025,2,"LV",51,5.94117647058824,-0.102254965140484,0.411764705882353,2,0.352941176470588,1,0.0196078431372549,0.0980392156862745,7,0.777777777777778,1,5,0.166666666666667,NA,NA,NA
